,mae_name,C,gamma,tol,eps,mae
144,SVR_0.0005_0.0001_10.0_1e-05,0.0005,0.0001,10.0,1e-05,9544311.61273337
145,SVR_0.0005_0.0001_10.0_0.0001,0.0005,0.0001,10.0,0.0001,9544311.61273337
146,SVR_0.0005_0.0001_10.0_0.001,0.0005,0.0001,10.0,0.001,9544311.61273337
147,SVR_0.0005_0.0001_10.0_0.01,0.0005,0.0001,10.0,0.01,9544311.61273337
148,SVR_0.0005_0.0001_10.0_0.1,0.0005,0.0001,10.0,0.1,9544311.61273337
149,SVR_0.0005_0.0001_10.0_1.0,0.0005,0.0001,10.0,1.0,9544311.61273337
150,SVR_0.0005_0.0001_10.0_10.0,0.0005,0.0001,10.0,10.0,9544311.61273337
151,SVR_0.0005_0.0001_10.0_100.0,0.0005,0.0001,10.0,100.0,9544311.612733379
152,SVR_0.0005_0.0001_100.0_1e-05,0.0005,0.0001,100.0,1e-05,9544311.612733373
153,SVR_0.0005_0.0001_100.0_0.0001,0.0005,0.0001,100.0,0.0001,9544311.612733373
154,SVR_0.0005_0.0001_100.0_0.001,0.0005,0.0001,100.0,0.001,9544311.612733373
155,SVR_0.0005_0.0001_100.0_0.01,0.0005,0.0001,100.0,0.01,9544311.612733373
156,SVR_0.0005_0.0001_100.0_0.1,0.0005,0.0001,100.0,0.1,9544311.612733373
157,SVR_0.0005_0.0001_100.0_1.0,0.0005,0.0001,100.0,1.0,9544311.612733373
158,SVR_0.0005_0.0001_100.0_10.0,0.0005,0.0001,100.0,10.0,9544311.612733373
159,SVR_0.0005_0.0001_100.0_100.0,0.0005,0.0001,100.0,100.0,9544311.612733398
160,SVR_0.0005_0.001_1e-07_1e-05,0.0005,0.001,1e-07,1e-05,9544311.612733364
161,SVR_0.0005_0.001_1e-07_0.0001,0.0005,0.001,1e-07,0.0001,9544311.612733364
162,SVR_0.0005_0.001_1e-07_0.001,0.0005,0.001,1e-07,0.001,9544311.612733364
163,SVR_0.0005_0.001_1e-07_0.01,0.0005,0.001,1e-07,0.01,9544311.612733364
164,SVR_0.0005_0.001_1e-07_0.1,0.0005,0.001,1e-07,0.1,9544311.612733364
