mae_name,C,gamma,eps,tol,mae
SVR_0.017341529915832612_0.00020048577321447834_0.08779149519890259_4.019454526140724e-08,0.017341529915832612,0.00020048577321447834,0.08779149519890259,4.019454526140724e-08,23.045340275866753
SVR_0.017341529915832612_0.00020048577321447834_0.13168724279835387_4.019454526140724e-08,0.017341529915832612,0.00020048577321447834,0.13168724279835387,4.019454526140724e-08,23.045330465496907
SVR_0.017341529915832612_0.00020048577321447834_0.1975308641975308_4.019454526140724e-08,0.017341529915832612,0.00020048577321447834,0.1975308641975308,4.019454526140724e-08,23.039009877022288
SVR_0.017341529915832612_0.00020048577321447834_0.29629629629629617_4.019454526140724e-08,0.017341529915832612,0.00020048577321447834,0.29629629629629617,4.019454526140724e-08,23.033747750210292
SVR_0.017341529915832612_0.0003007286598217175_0.0010149592268982965_4.019454526140724e-08,0.017341529915832612,0.0003007286598217175,0.0010149592268982965,4.019454526140724e-08,23.016427353060863
SVR_0.017341529915832612_0.0003007286598217175_0.039018442310623375_4.019454526140724e-08,0.017341529915832612,0.0003007286598217175,0.039018442310623375,4.019454526140724e-08,23.01603333566721
SVR_0.017341529915832612_0.0003007286598217175_0.13168724279835387_4.019454526140724e-08,0.017341529915832612,0.0003007286598217175,0.13168724279835387,4.019454526140724e-08,23.01439308048496
SVR_0.017341529915832612_0.0003007286598217175_0.1975308641975308_4.019454526140724e-08,0.017341529915832612,0.0003007286598217175,0.1975308641975308,4.019454526140724e-08,23.01108744930361
SVR_0.017341529915832612_0.0003007286598217175_0.29629629629629617_4.019454526140724e-08,0.017341529915832612,0.0003007286598217175,0.29629629629629617,4.019454526140724e-08,23.006226467997642
SVR_0.017341529915832612_0.0003007286598217175_0.44444444444444425_4.019454526140724e-08,0.017341529915832612,0.0003007286598217175,0.44444444444444425,4.019454526140724e-08,23.000033732784264
SVR_0.017341529915832612_0.0004510929897325762_0.0010149592268982965_4.019454526140724e-08,0.017341529915832612,0.0004510929897325762,0.0010149592268982965,4.019454526140724e-08,22.9974736847005
SVR_0.017341529915832612_0.0004510929897325762_0.05852766346593506_4.019454526140724e-08,0.017341529915832612,0.0004510929897325762,0.05852766346593506,4.019454526140724e-08,22.997007586055826
SVR_0.017341529915832612_0.0004510929897325762_0.13168724279835387_4.019454526140724e-08,0.017341529915832612,0.0004510929897325762,0.13168724279835387,4.019454526140724e-08,22.99508347669669
SVR_0.017341529915832612_0.0004510929897325762_0.1975308641975308_4.019454526140724e-08,0.017341529915832612,0.0004510929897325762,0.1975308641975308,4.019454526140724e-08,22.99361902592715
SVR_0.017341529915832612_0.0004510929897325762_0.29629629629629617_4.019454526140724e-08,0.017341529915832612,0.0004510929897325762,0.29629629629629617,4.019454526140724e-08,22.98576460806614
SVR_0.017341529915832612_0.0004510929897325762_0.44444444444444425_4.019454526140724e-08,0.017341529915832612,0.0004510929897325762,0.44444444444444425,4.019454526140724e-08,22.9783280716861
SVR_0.017341529915832612_0.0006766394845988643_0.44444444444444425_4.019454526140724e-08,0.017341529915832612,0.0006766394845988643,0.44444444444444425,4.019454526140724e-08,22.97214385405531
mae_name,C,gamma,eps,tol,mae
SVR_0.02601229487374892_0.00020048577321447834_0.0010149592268982965_4.019454526140724e-08,0.02601229487374892,0.00020048577321447834,0.0010149592268982965,4.019454526140724e-08,22.949284096722582
SVR_0.02601229487374892_0.00020048577321447834_0.05852766346593506_4.019454526140724e-08,0.02601229487374892,0.00020048577321447834,0.05852766346593506,4.019454526140724e-08,22.94881846572602
SVR_0.02601229487374892_0.00020048577321447834_0.13168724279835387_4.019454526140724e-08,0.02601229487374892,0.00020048577321447834,0.13168724279835387,4.019454526140724e-08,22.94689025906431
SVR_0.02601229487374892_0.00020048577321447834_0.1975308641975308_4.019454526140724e-08,0.02601229487374892,0.00020048577321447834,0.1975308641975308,4.019454526140724e-08,22.946875543509556
