,mae_name,C,gamma,tol,eps,mae
160,SVR_0.05_1e-05_0.01_1e-05,0.05,1e-05,0.01,1e-05,0.0010288929655732915
161,SVR_0.05_1e-05_0.01_0.0001,0.05,1e-05,0.01,0.0001,0.0009777256507288
162,SVR_0.05_1e-05_0.01_0.001,0.05,1e-05,0.01,0.001,0.0007535834369715832
163,SVR_0.05_1e-05_0.01_0.01,0.05,1e-05,0.01,0.01,0.0029924869646532405
164,SVR_0.05_1e-05_0.1_1e-05,0.05,1e-05,0.1,1e-05,0.0029924869646532405
165,SVR_0.05_1e-05_0.1_0.0001,0.05,1e-05,0.1,0.0001,0.0029924869646532405
166,SVR_0.05_1e-05_0.1_0.001,0.05,1e-05,0.1,0.001,0.0029924869646532405
167,SVR_0.05_1e-05_0.1_0.01,0.05,1e-05,0.1,0.01,0.0029924869646532405
168,SVR_0.05_0.0001_1e-07_1e-05,0.05,0.0001,1e-07,1e-05,0.00016417464660389847
169,SVR_0.05_0.0001_1e-07_0.0001,0.05,0.0001,1e-07,0.0001,0.00018855612240344932
170,SVR_0.05_0.0001_1e-07_0.001,0.05,0.0001,1e-07,0.001,0.000533094613379026
171,SVR_0.05_0.0001_1e-07_0.01,0.05,0.0001,1e-07,0.01,0.0029924869646532405
172,SVR_0.05_0.0001_1e-06_1e-05,0.05,0.0001,1e-06,1e-05,0.00016418078951940807
173,SVR_0.05_0.0001_1e-06_0.0001,0.05,0.0001,1e-06,0.0001,0.00018860781707048525
174,SVR_0.05_0.0001_1e-06_0.001,0.05,0.0001,1e-06,0.001,0.0005330569518243955
175,SVR_0.05_0.0001_1e-06_0.01,0.05,0.0001,1e-06,0.01,0.0029924869646532405
176,SVR_0.05_0.0001_9.999999999999999e-06_1e-05,0.05,0.0001,9.999999999999999e-06,1e-05,0.00016201880535531287
177,SVR_0.05_0.0001_9.999999999999999e-06_0.0001,0.05,0.0001,9.999999999999999e-06,0.0001,0.0001884146763882377
178,SVR_0.05_0.0001_9.999999999999999e-06_0.001,0.05,0.0001,9.999999999999999e-06,0.001,0.0005331387649729624
179,SVR_0.05_0.0001_9.999999999999999e-06_0.01,0.05,0.0001,9.999999999999999e-06,0.01,0.0029924869646532405
180,SVR_0.05_0.0001_9.999999999999999e-05_1e-05,0.05,0.0001,9.999999999999999e-05,1e-05,0.0001554468528565778
181,SVR_0.05_0.0001_9.999999999999999e-05_0.0001,0.05,0.0001,9.999999999999999e-05,0.0001,0.00020069746619930662
182,SVR_0.05_0.0001_9.999999999999999e-05_0.001,0.05,0.0001,9.999999999999999e-05,0.001,0.000534851792587876
183,SVR_0.05_0.0001_9.999999999999999e-05_0.01,0.05,0.0001,9.999999999999999e-05,0.01,0.0029924869646532405
184,SVR_0.05_0.0001_0.001_1e-05,0.05,0.0001,0.001,1e-05,0.00020978793974699706
185,SVR_0.05_0.0001_0.001_0.0001,0.05,0.0001,0.001,0.0001,0.00020480163579645884
186,SVR_0.05_0.0001_0.001_0.001,0.05,0.0001,0.001,0.001,0.0004706976546441588
187,SVR_0.05_0.0001_0.001_0.01,0.05,0.0001,0.001,0.01,0.0029924869646532405
188,SVR_0.05_0.0001_0.01_1e-05,0.05,0.0001,0.01,1e-05,0.0010524620235290438
189,SVR_0.05_0.0001_0.01_0.0001,0.05,0.0001,0.01,0.0001,0.0010340644082143414
190,SVR_0.05_0.0001_0.01_0.001,0.05,0.0001,0.01,0.001,0.0007574721421380381
191,SVR_0.05_0.0001_0.01_0.01,0.05,0.0001,0.01,0.01,0.0029924869646532405
192,SVR_0.05_0.0001_0.1_1e-05,0.05,0.0001,0.1,1e-05,0.0029924869646532405
193,SVR_0.05_0.0001_0.1_0.0001,0.05,0.0001,0.1,0.0001,0.0029924869646532405
194,SVR_0.05_0.0001_0.1_0.001,0.05,0.0001,0.1,0.001,0.0029924869646532405
195,SVR_0.05_0.0001_0.1_0.01,0.05,0.0001,0.1,0.01,0.0029924869646532405
196,SVR_0.05_0.001_1e-07_1e-05,0.05,0.001,1e-07,1e-05,0.0001932704818036868
197,SVR_0.05_0.001_1e-07_0.0001,0.05,0.001,1e-07,0.0001,0.00024598801395989687
198,SVR_0.05_0.001_1e-07_0.001,0.05,0.001,1e-07,0.001,0.00043229997116056573
199,SVR_0.05_0.001_1e-07_0.01,0.05,0.001,1e-07,0.01,0.0029924869646532405
200,SVR_0.05_0.001_1e-06_1e-05,0.05,0.001,1e-06,1e-05,0.00019324530649122984
201,SVR_0.05_0.001_1e-06_0.0001,0.05,0.001,1e-06,0.0001,0.0002459402025940971
202,SVR_0.05_0.001_1e-06_0.001,0.05,0.001,1e-06,0.001,0.00043234213843010847
203,SVR_0.05_0.001_1e-06_0.01,0.05,0.001,1e-06,0.01,0.0029924869646532405
204,SVR_0.05_0.001_9.999999999999999e-06_1e-05,0.05,0.001,9.999999999999999e-06,1e-05,0.00019100843039039362
205,SVR_0.05_0.001_9.999999999999999e-06_0.0001,0.05,0.001,9.999999999999999e-06,0.0001,0.000245692534050157
206,SVR_0.05_0.001_9.999999999999999e-06_0.001,0.05,0.001,9.999999999999999e-06,0.001,0.0004330279452156915
207,SVR_0.05_0.001_9.999999999999999e-06_0.01,0.05,0.001,9.999999999999999e-06,0.01,0.0029924869646532405
208,SVR_0.05_0.001_9.999999999999999e-05_1e-05,0.05,0.001,9.999999999999999e-05,1e-05,0.0001940166363749274
209,SVR_0.05_0.001_9.999999999999999e-05_0.0001,0.05,0.001,9.999999999999999e-05,0.0001,0.00023047604212753648
210,SVR_0.05_0.001_9.999999999999999e-05_0.001,0.05,0.001,9.999999999999999e-05,0.001,0.00043511408448817515
211,SVR_0.05_0.001_9.999999999999999e-05_0.01,0.05,0.001,9.999999999999999e-05,0.01,0.0029924869646532405
212,SVR_0.05_0.001_0.001_1e-05,0.05,0.001,0.001,1e-05,0.00018087765499115173
213,SVR_0.05_0.001_0.001_0.0001,0.05,0.001,0.001,0.0001,0.0003034662932856591
214,SVR_0.05_0.001_0.001_0.001,0.05,0.001,0.001,0.001,0.00048664270115721385
215,SVR_0.05_0.001_0.001_0.01,0.05,0.001,0.001,0.01,0.0029924869646532405
216,SVR_0.05_0.001_0.01_1e-05,0.05,0.001,0.01,1e-05,0.0017108202782314841
217,SVR_0.05_0.001_0.01_0.0001,0.05,0.001,0.01,0.0001,0.0017102138472300243
218,SVR_0.05_0.001_0.01_0.001,0.05,0.001,0.01,0.001,0.0013185293166706913
219,SVR_0.05_0.001_0.01_0.01,0.05,0.001,0.01,0.01,0.0029924869646532405
220,SVR_0.05_0.001_0.1_1e-05,0.05,0.001,0.1,1e-05,0.0029924869646532405
221,SVR_0.05_0.001_0.1_0.0001,0.05,0.001,0.1,0.0001,0.0029924869646532405
